B,3341.0940682626556
AU,289.027390971272
BB,136.94480341997257
IH,2668.6346116279083
SM,7258.54970150479
AL,14318.281447879614
HC,3669.31804582763
AG,3869.4729071135453
M,2860.888220930231
RS,4914.799275376199
CS,2179.9014673050615
TS,100.05860718562873
J,1987.981227222982
BU,2948.880839945281
TA,5640.092702599178
SC,463.3795903002309
OI,6799.4479960328335
LR,2823.5396615595105
WR,3492.5175422096386
IF,3662.5790606019164
NR,10348.36902291667
EG,4766.827811969117
CF,15109.239110807104
CU,49327.35509056089
SS,14655.692319999996
A,3659.4427599179253
I,557.6358298221612
AP,9365.617582555791
CY,23257.392160034608
RR,3563.2531347826084
WH,2564.543380711354
PP,8716.79303584131
CJ,10455.045040361445
PM,2410.457366894663
ZC,595.340213269495
SN,144248.95918809835
RM,2333.022904103967
Y,5916.492610943917
FB,122.1253080711355
JM,1258.0616679890568
P,5080.0222095759145
FG,1382.2271615595089
JR,3071.0478946648414
C,1805.5044595075203
NI,99843.54735909707
SA,1619.1148277777775
L,8866.549973187419
SR,5672.510716689473
V,6584.59846019152
SP,4911.510853358206
MA,2610.613404514361
RU,13105.932038577297
JD,3939.1180084815273
IC,5465.522716005475
EB,7345.586876562496
RI,2598.224750478796
ZN,22152.26306703146
TF,98.28123556771533
FU,3244.6858315277746
PB,17852.421476470594
SF,6136.103164979475
RB,3629.6654540355676
T,95.73805964432277
UR,1730.659151546391
