date,atm_iv
2015-02-09,34.167236328125
2015-02-10,31.275166015625004
2015-02-11,27.445126953125005
2015-02-12,25.451943359375008
2015-02-13,22.012724609375
2015-02-16,22.208134765625
2015-02-17,23.263349609375005
2015-02-25,24.59213867187501
2015-02-26,24.885253906250007
2015-02-27,25.60827148437501
2015-03-02,27.503750000000004
2015-03-03,27.855488281250008
2015-03-04,26.174960937500003
2015-03-05,25.080664062500002
2015-03-06,24.924335937500004
2015-03-09,25.940468750000008
2015-03-10,24.044990234375003
2015-03-11,23.458759765625004
2015-03-12,22.364462890625003
2015-03-13,22.442626953125004
2015-03-16,21.563447265625
2015-03-17,22.774970703125003
2015-03-18,22.794365234375
2015-03-19,25.373779296875004
2015-03-20,26.389912109375004
2015-03-23,28.676210937500002
2015-03-24,29.418769531250007
2015-03-25,28.20722656250001
2015-03-26,28.519882812500004
2015-03-27,29.184277343750004
2015-03-30,30.337197265625004
2015-03-31,30.571689453125
2015-04-01,32.916611328125
2015-04-02,35.320156250000004
2015-04-03,35.2419921875
2015-04-07,36.82725708007813
2015-04-08,37.07884765625
2015-04-09,39.860999755859375
2015-04-10,38.34168579101563
2015-04-13,39.247900390625
2015-04-14,37.09838867187501
2015-04-15,37.059306640625
2015-04-16,42.23279052734375
2015-04-17,44.81220458984375
2015-04-20,46.3510595703125
2015-04-21,46.9372900390625
2015-04-22,46.65883056640625
2015-04-23,45.9993212890625
2015-04-24,46.24846923828125
2015-04-27,45.7062060546875
2015-04-28,44.782893066406245
2015-04-29,45.2372216796875
2015-04-30,45.20791015625
2015-05-04,44.43115478515625
2015-05-05,42.555217285156246
2015-05-06,41.57328125
2015-05-07,42.99489013671875
2015-05-08,41.116510009765626
2015-05-11,39.482392578125
2015-05-12,41.06032958984375
2015-05-13,40.6060009765625
2015-05-14,37.606455078125
2015-05-15,31.040673828125005
2015-05-18,30.513066406250005
2015-05-19,35.789140625
2015-05-20,37.157011718750006
2015-05-21,37.332880859375
2015-05-22,38.72029296875
2015-05-25,44.797548828125
2015-05-26,44.797548828125
2015-05-27,44.9441064453125
2015-05-28,42.2474462890625
2015-05-29,44.8854833984375
2015-06-01,47.0545361328125
2015-06-02,50.35208251953125
2015-06-03,50.308115234374995
2015-06-04,49.458081054687504
2015-06-05,50.90900146484374
2015-06-08,47.714045410156245
2015-06-09,51.61247802734374
2015-06-10,49.09168701171875
2015-06-11,51.26073974609374
2015-06-12,47.86060302734375
2015-06-15,42.85566040039063
2015-06-16,41.206887207031244
2015-06-17,45.32515625
2015-06-18,50.68916503906251
2015-06-19,56.18507568359375
2015-06-23,51.141051025390624
2015-06-24,52.27198730468749
2015-06-25,50.08827880859374
2015-06-26,61.739609375
2015-06-29,75.50136962890626
2015-06-30,67.26483154296876
2015-07-01,60.3033447265625
2015-07-02,64.86128662109375
2015-07-03,68.04158691406249
2015-07-06,68.58385009765625
2015-07-07,59.33606445312499
2015-07-08,66.26946105957032
2015-07-09,62.85344726562499
2015-07-10,67.00102783203124
2015-07-13,64.30436767578125
2015-07-14,53.09270996093751
2015-07-15,44.09651489257813
2015-07-16,43.207398681640626
2015-07-17,40.14434448242188
2015-07-20,41.009034423828126
2015-07-21,39.70467163085939
2015-07-22,35.60594360351563
2015-07-23,30.610771484375004
2015-07-24,32.327938232421886
2015-07-27,36.27522338867188
2015-07-28,42.958250732421874
2015-07-29,43.68615356445312
2015-07-30,42.86543090820313
2015-07-31,41.35588745117187
2015-08-03,41.42428100585938
2015-08-04,38.31237426757813
2015-08-05,40.14434448242188
2015-08-06,39.44575317382813
2015-08-07,35.261533203125005
2015-08-10,34.558056640625004
2015-08-11,35.496025390625
2015-08-12,33.346513671875
2015-08-13,35.94791137695312
2015-08-14,34.36020385742188
2015-08-17,36.37781372070313
2015-08-18,37.18519897460937
2015-08-19,37.872701416015616
2015-08-20,39.42621215820313
2015-08-21,37.711488037109376
2015-08-24,72.04871643066406
2015-08-25,85.71521423339843
2015-08-26,79.55246643066407
2015-08-27,66.71157653808594
2015-08-28,64.34955627441408
2015-08-31,69.86989318847657
2015-09-01,74.01258850097656
2015-09-02,72.94027526855471
2015-09-07,67.22208557128906
2015-09-08,49.8684423828125
2015-09-09,47.36474975585937
2015-09-10,40.31044311523437
2015-09-11,39.39201538085938
2015-09-14,47.996343994140624
2015-09-15,47.174224853515625
2015-09-16,39.70467163085937
2015-09-17,38.488243408203125
2015-09-18,39.54834350585937
2015-09-21,37.84338989257813
2015-09-22,35.024598388671876
2015-09-23,37.42814331054688
2015-09-24,35.91371459960938
2015-09-25,31.509658203125003
2015-09-28,27.62099609375
2015-09-29,28.55896484375
2015-09-30,25.979550781250005
2015-10-08,30.630312500000002
2015-10-09,28.265849609375003
2015-10-12,31.86139648437501
2015-10-13,33.581005859375004
2015-10-14,29.223359375
2015-10-15,27.894570312500004
2015-10-16,24.74859375
2015-10-19,30.141787109375006
2015-10-20,33.23171020507812
2015-10-21,29.536015625
2015-10-22,29.946376953124997
2015-10-23,28.598046875000005
2015-10-26,30.35673828125
2015-10-27,28.109521484375
2015-10-28,29.399228515625005
2015-10-29,30.141787109375006
2015-10-30,25.27607421875
2015-11-02,25.100205078125004
2015-11-03,23.204814453125007
2015-11-04,25.373779296875004
2015-11-05,28.519882812500008
2015-11-06,29.73142578125
2015-11-09,39.45552368164063
2015-11-10,38.87417846679688
2015-11-11,33.971826171875
2015-11-12,28.676210937500002
2015-11-13,28.71529296875
2015-11-16,31.490117187500005
2015-11-17,30.493525390625003
2015-11-18,29.672802734375004
