date,expire_date,month,month_call,month_put,next_month,next_month_call,next_month_put,next_season,next_season_call,next_season_put,season,season_call,season_put,skew_atm_call,skew_atm_put,skew_otm_call,skew_otm_put,next_vs_cur,season_vs_next,season_vs_cur
2015-02-09,2015-03-25,34.167236328125,30.298115234375,38.036357421875,34.831630859375004,30.610771484375,39.052490234375,33.62008789062501,29.39922851562501,37.840947265625005,34.87071289062501,31.82231445312501,37.919111328125,30.298115234375,38.036357421875,30.493525390625,37.293798828125006,0.6643945312500037,0.03908203125000398,0.7034765625000077
2015-02-10,2015-03-25,31.275166015625004,27.835947265625006,34.714384765625006,31.45103515625,27.835947265625006,35.066123046875,32.369462890625,29.360146484375004,35.378779296874995,31.920019531250006,28.73483398437501,35.105205078125,27.835947265625006,34.714384765625006,28.226767578125,35.14428710937501,0.1758691406249966,0.4689843750000051,0.6448535156250017
2015-02-11,2015-03-25,27.445126953125005,25.530107421875,29.360146484375004,27.699160156250002,25.647353515625003,29.750966796875,28.969326171875004,26.077255859375004,31.861396484375003,28.852080078125002,26.546240234375006,31.157919921875,25.530107421875,29.360146484375004,26.155419921875,30.063623046874998,0.25403320312499744,1.1529199218750001,1.4069531249999976
2015-02-12,2015-03-25,25.451943359375008,23.888662109375005,27.01522460937501,26.468076171875005,25.100205078125004,27.835947265625006,28.363554687500002,26.077255859375004,30.649853515625004,27.601455078125003,25.725517578125,29.477392578125006,23.888662109375005,27.01522460937501,24.201318359375005,27.601455078125003,1.0161328124999969,1.1333789062499982,2.149511718749995
2015-02-13,2015-03-25,22.012724609375,20.801181640625003,23.224267578125,23.966826171875006,22.833447265625004,25.100205078125004,25.061123046875,23.966826171875006,26.155419921875,24.084072265625007,22.833447265625004,25.334697265625007,20.801181640625003,23.224267578125,21.035673828125002,24.162236328125005,1.954101562500007,0.11724609375000128,2.0713476562500084
2015-02-16,2015-03-25,22.208134765625,21.192001953125,23.224267578125,24.005908203125003,23.341513671875003,24.670302734375007,24.240400390625,22.559873046875005,25.920927734375,23.302431640625006,22.208134765625,24.396728515625004,21.192001953125,23.224267578125,21.895478515625,23.693251953125007,1.7977734375000018,-0.703476562499997,1.0942968750000048
2015-02-17,2015-03-25,23.263349609375005,22.012724609375002,24.513974609375005,23.380595703125003,21.973642578125002,24.787548828125004,23.830039062500006,22.638037109375002,25.022041015625007,23.751875000000002,22.286298828125002,25.217451171875005,22.012724609375002,24.513974609375005,21.660986328125002,25.178369140625,0.11724609374999773,0.3712792968749987,0.48852539062499645
2015-02-25,2015-03-25,24.59213867187501,23.615087890625006,25.569189453125006,24.2990234375,23.107021484375004,25.491025390624998,23.9863671875,22.794365234375004,25.178369140625,23.927744140625006,23.067939453125003,24.787548828125004,23.615087890625006,25.569189453125006,23.693251953125007,27.21063476562501,-0.2931152343750085,-0.37127929687499517,-0.6643945312500037
2015-02-26,2015-03-25,24.885253906250007,23.302431640625006,26.468076171875012,25.881845703125006,24.162236328125005,27.601455078125003,24.748466796875007,22.051806640625003,27.44512695312501,24.162236328125005,21.192001953125,27.132470703125012,23.302431640625006,26.468076171875012,23.341513671875003,27.796865234375,0.9965917968749984,-1.719609375000001,-0.7230175781250026
2015-02-27,2015-03-25,25.60827148437501,24.748466796875007,26.468076171875012,26.370371093750002,25.373779296875,27.366962890625,24.044990234375003,22.638037109375002,25.451943359375008,24.474892578125008,24.318564453125006,24.631220703125006,24.748466796875007,26.468076171875012,25.25653320312501,27.054306640625004,0.7620996093749923,-1.895478515624994,-1.1333789062500017
2015-03-02,2015-03-25,27.503750000000004,26.78073242187501,28.226767578125,27.171552734375005,25.647353515625003,28.695751953125004,25.139287109375,23.341513671875003,26.937060546875003,25.979550781250005,24.553056640625005,27.406044921875004,26.78073242187501,28.226767578125,27.406044921875004,28.304931640624996,-0.3321972656249983,-1.1920019531250006,-1.5241992187499989
2015-03-03,2015-03-25,27.855488281250008,27.132470703125012,28.578505859375003,27.640537109375003,27.679619140625,27.601455078125003,25.100205078125004,24.513974609375005,25.686435546874996,26.956601562500005,27.835947265625006,26.077255859375004,27.132470703125012,28.578505859375003,26.389912109375004,28.148603515625005,-0.21495117187500412,-0.6839355468749986,-0.8988867187500027
2015-03-04,2015-03-25,26.174960937500003,26.428994140625008,25.920927734375,26.780732421875005,26.077255859375004,27.484208984375,25.74505859375001,24.82663085937501,26.663486328125007,25.451943359375008,25.451943359375008,25.451943359375008,26.428994140625008,25.920927734375,25.999091796875007,26.389912109375004,0.6057714843750013,-1.3287890624999967,-0.7230175781249955
2015-03-05,2015-03-25,25.080664062500002,24.201318359375005,25.960009765625003,25.37377929687501,24.044990234375003,26.70256835937501,24.865712890625005,23.536923828125005,26.194501953125005,24.181777343750007,22.794365234375004,25.569189453125006,24.201318359375005,25.960009765625003,24.279482421875002,26.23358398437501,0.2931152343750085,-1.1920019531250041,-0.8988867187499956
2015-03-06,2015-03-25,24.924335937500004,24.396728515625004,25.451943359375008,24.650761718750008,23.732333984375007,25.569189453125006,25.862304687500004,25.647353515625003,26.077255859375004,25.549648437500004,24.943876953125006,26.155419921875,24.396728515625004,25.451943359375008,24.318564453125006,25.999091796875007,-0.2735742187499959,0.8988867187499956,0.6253124999999997
2015-03-09,2015-03-25,25.940468750000008,24.59213867187501,27.288798828125003,25.100205078125004,23.302431640625006,26.89797851562501,25.256533203125002,23.028857421875003,27.484208984375,25.999091796875007,22.794365234375004,29.20381835937501,24.59213867187501,27.288798828125003,24.044990234375003,27.640537109375007,-0.8402636718750038,0.8988867187500027,0.05862304687499886
