atr,datetime
0.01329936132499697,2005-05-24
0.01325603741143177,2005-05-25
0.013188500882460416,2005-05-26
0.013086177825937049,2005-05-27
0.013301822137896357,2005-05-30
0.013046148244717814,2005-05-31
0.013169881453680652,2005-06-01
0.013631340584252777,2005-06-02
0.013502192987323275,2005-06-03
0.013882156186242573,2005-06-06
0.014169500036300325,2005-06-07
0.016617060349344622,2005-06-08
0.017344714182103087,2005-06-09
0.017401776041684906,2005-06-10
0.01743134904971497,2005-06-13
0.017285484028542242,2005-06-14
0.017207057954999078,2005-06-15
0.01707680395707621,2005-06-16
0.01709364544533321,2005-06-17
0.017874759197867258,2005-06-20
0.017610781947915283,2005-06-21
0.01726812011771766,2005-06-22
0.01681322096205746,2005-06-23
0.01647430296646633,2005-06-24
0.016496919832483588,2005-06-27
0.016334248676744528,2005-06-28
0.016361839117933697,2005-06-29
0.01655334625638924,2005-06-30
0.016003306308030478,2005-07-01
0.01587444695542791,2005-07-04
0.015451926364288965,2005-07-05
0.01510797198019231,2005-07-06
0.014626532759983976,2005-07-07
0.014538442324270828,2005-07-08
0.01501862219565694,2005-07-11
0.016214595273819563,2005-07-12
0.016002512750585795,2005-07-13
0.01616456194894163,2005-07-14
0.015897202724580704,2005-07-15
0.015434132437607254,2005-07-18
0.014997883650641888,2005-07-19
0.014809487924223513,2005-07-20
0.014457905364867565,2005-07-21
0.014791435704452443,2005-07-22
0.014337035667342379,2005-07-25
0.014548930024259563,2005-07-26
0.014311676016361352,2005-07-27
0.01410217963348584,2005-07-28
0.013641269320671435,2005-07-29
0.01340041291760973,2005-08-01
0.01327029867824156,2005-08-02
0.013047990807301346,2005-08-03
0.012717911799392323,2005-08-04
0.013199263893593282,2005-08-05
0.012964326750455238,2005-08-08
0.012741136464474102,2005-08-09
0.012736207680391676,2005-08-10
0.01276568251396883,2005-08-11
0.012649042540955035,2005-08-12
0.013021377175390305,2005-08-15
0.013418669470275552,2005-08-16
0.01374542077064514,2005-08-17
0.014710907354281719,2005-08-18
0.014586860442681352,2005-08-19
0.014472788068486933,2005-08-22
0.0143751892862613,2005-08-23
0.01438546204903498,2005-08-24
0.014177063126008808,2005-08-25
0.01365366780462338,2005-08-26
0.013617264325649525,2005-08-29
0.012874928224639528,2005-08-30
0.012631415797126741,2005-08-31
0.01266636420858635,2005-09-01
0.012304299857872722,2005-09-02
0.012089423054864788,2005-09-05
0.012087319231321433,2005-09-06
0.011891069827012107,2005-09-07
0.011642796246918826,2005-09-08
