dominant,start,end,underlying,exchange,vt_symbol
PB1608,2016-06-15,2016-07-07,PB,SHFE,pb1608.SHFE
PB1609,2016-07-08,2016-08-19,PB,SHFE,pb1609.SHFE
PB1610,2016-08-22,2016-09-20,PB,SHFE,pb1610.SHFE
PB1611,2016-09-21,2016-10-19,PB,SHFE,pb1611.SHFE
PB1612,2016-10-20,2016-11-07,PB,SHFE,pb1612.SHFE
PB1701,2016-11-08,2016-12-08,PB,SHFE,pb1701.SHFE
PB1702,2016-12-09,2017-01-16,PB,SHFE,pb1702.SHFE
PB1703,2017-01-17,2017-02-21,PB,SHFE,pb1703.SHFE
PB1704,2017-02-22,2017-03-16,PB,SHFE,pb1704.SHFE
PB1705,2017-03-17,2017-04-17,PB,SHFE,pb1705.SHFE
PB1706,2017-04-18,2017-05-23,PB,SHFE,pb1706.SHFE
PB1707,2017-05-24,2017-06-22,PB,SHFE,pb1707.SHFE
PB1708,2017-06-23,2017-07-21,PB,SHFE,pb1708.SHFE
PB1709,2017-07-24,2017-08-15,PB,SHFE,pb1709.SHFE
PB1710,2017-08-16,2017-09-15,PB,SHFE,pb1710.SHFE
PB1711,2017-09-18,2017-10-20,PB,SHFE,pb1711.SHFE
PB1712,2017-10-23,2017-11-16,PB,SHFE,pb1712.SHFE
PB1801,2017-11-17,2017-12-19,PB,SHFE,pb1801.SHFE
PB1802,2017-12-20,2018-01-16,PB,SHFE,pb1802.SHFE
PB1803,2018-01-17,2018-02-13,PB,SHFE,pb1803.SHFE
PB1804,2018-02-14,2018-03-13,PB,SHFE,pb1804.SHFE
PB1805,2018-03-14,2018-04-16,PB,SHFE,pb1805.SHFE
PB1806,2018-04-17,2018-05-22,PB,SHFE,pb1806.SHFE
PB1807,2018-05-23,2018-06-25,PB,SHFE,pb1807.SHFE
PB1808,2018-06-26,2018-07-20,PB,SHFE,pb1808.SHFE
PB1809,2018-07-23,2018-08-20,PB,SHFE,pb1809.SHFE
PB1810,2018-08-21,2018-09-18,PB,SHFE,pb1810.SHFE
PB1811,2018-09-19,2018-10-22,PB,SHFE,pb1811.SHFE
PB1812,2018-10-23,2018-11-14,PB,SHFE,pb1812.SHFE
PB1901,2018-11-15,2018-12-19,PB,SHFE,pb1901.SHFE
PB1902,2018-12-20,2019-01-22,PB,SHFE,pb1902.SHFE
PB1903,2019-01-23,2019-02-21,PB,SHFE,pb1903.SHFE
PB1904,2019-02-22,2019-03-18,PB,SHFE,pb1904.SHFE
PB1905,2019-03-19,2019-04-16,PB,SHFE,pb1905.SHFE
PB1906,2019-04-17,2019-05-22,PB,SHFE,pb1906.SHFE
PB1907,2019-05-23,2019-06-20,PB,SHFE,pb1907.SHFE
PB1908,2019-06-21,2019-07-16,PB,SHFE,pb1908.SHFE
PB1909,2019-07-17,2019-08-20,PB,SHFE,pb1909.SHFE
PB1910,2019-08-21,2019-09-18,PB,SHFE,pb1910.SHFE
PB1911,2019-09-19,2019-10-23,PB,SHFE,pb1911.SHFE
PB1912,2019-10-24,2019-11-14,PB,SHFE,pb1912.SHFE
PB2001,2019-11-15,2019-12-17,PB,SHFE,pb2001.SHFE
PB2002,2019-12-18,2019-12-25,PB,SHFE,pb2002.SHFE
OI1307,2012-07-16,2012-10-15,OI,CZCE,OI307.CZCE
OI1309,2012-10-16,2013-06-06,OI,CZCE,OI309.CZCE
OI1401,2013-06-07,2013-10-22,OI,CZCE,OI401.CZCE
OI1405,2013-10-23,2014-01-30,OI,CZCE,OI405.CZCE
OI1409,2014-02-07,2014-06-09,OI,CZCE,OI409.CZCE
OI1501,2014-06-10,2014-11-14,OI,CZCE,OI501.CZCE
OI1505,2014-11-17,2015-03-10,OI,CZCE,OI505.CZCE
OI1509,2015-03-11,2015-06-12,OI,CZCE,OI509.CZCE
OI1601,2015-06-15,2015-11-10,OI,CZCE,OI601.CZCE
OI1605,2015-11-11,2016-03-08,OI,CZCE,OI605.CZCE
OI1609,2016-03-09,2016-07-05,OI,CZCE,OI609.CZCE
OI1701,2016-07-06,2016-11-22,OI,CZCE,OI701.CZCE
OI1705,2016-11-23,2017-03-15,OI,CZCE,OI705.CZCE
OI1709,2017-03-16,2017-07-10,OI,CZCE,OI709.CZCE
OI1801,2017-07-11,2017-11-20,OI,CZCE,OI801.CZCE
OI1805,2017-11-21,2018-03-21,OI,CZCE,OI805.CZCE
OI1809,2018-03-22,2018-07-13,OI,CZCE,OI809.CZCE
OI1901,2018-07-16,2018-12-04,OI,CZCE,OI901.CZCE
OI1905,2018-12-05,2019-04-02,OI,CZCE,OI905.CZCE
OI1909,2019-04-03,2019-07-31,OI,CZCE,OI909.CZCE
OI2001,2019-08-01,2019-12-09,OI,CZCE,OI001.CZCE
OI2005,2019-12-10,2019-12-25,OI,CZCE,OI005.CZCE
JR1403,2013-11-18,2013-11-18,JR,CZCE,JR403.CZCE
JR1405,2013-11-19,2014-05-15,JR,CZCE,JR405.CZCE
JR1409,2014-05-16,2014-08-29,JR,CZCE,JR409.CZCE
JR1501,2014-09-01,2015-01-15,JR,CZCE,JR501.CZCE
JR1511,2015-01-16,2015-11-12,JR,CZCE,JR511.CZCE
JR1609,2015-11-13,2016-09-13,JR,CZCE,JR609.CZCE
JR1701,2016-09-14,2017-01-13,JR,CZCE,JR701.CZCE
JR1711,2017-01-16,2017-11-13,JR,CZCE,JR711.CZCE
JR1807,2017-11-14,2018-07-12,JR,CZCE,JR807.CZCE
JR1809,2018-07-13,2018-07-20,JR,CZCE,JR809.CZCE
JR1907,2018-07-23,2019-07-11,JR,CZCE,JR907.CZCE
JR2005,2019-07-12,2019-12-25,JR,CZCE,JR005.CZCE
WH1307,2012-07-24,2012-11-06,WH,CZCE,WH307.CZCE
WH1309,2012-11-07,2013-06-21,WH,CZCE,WH309.CZCE
WH1401,2013-06-24,2013-11-14,WH,CZCE,WH401.CZCE
WH1405,2013-11-15,2014-04-29,WH,CZCE,WH405.CZCE
WH1409,2014-04-30,2014-08-07,WH,CZCE,WH409.CZCE
WH1501,2014-08-08,2015-01-15,WH,CZCE,WH501.CZCE
WH1505,2015-01-16,2015-05-14,WH,CZCE,WH505.CZCE
WH1601,2015-05-15,2015-10-20,WH,CZCE,WH601.CZCE
WH1605,2015-10-21,2016-04-18,WH,CZCE,WH605.CZCE
WH1609,2016-04-19,2016-07-19,WH,CZCE,WH609.CZCE
WH1701,2016-07-20,2016-12-21,WH,CZCE,WH701.CZCE
WH1705,2016-12-22,2017-04-25,WH,CZCE,WH705.CZCE
WH1709,2017-04-26,2017-07-11,WH,CZCE,WH709.CZCE
WH1801,2017-07-12,2017-12-28,WH,CZCE,WH801.CZCE
WH1805,2017-12-29,2018-04-13,WH,CZCE,WH805.CZCE
WH1809,2018-04-16,2018-07-16,WH,CZCE,WH809.CZCE
WH1901,2018-07-17,2018-12-25,WH,CZCE,WH901.CZCE
WH1905,2018-12-26,2019-04-25,WH,CZCE,WH905.CZCE
WH1909,2019-04-26,2019-09-10,WH,CZCE,WH909.CZCE
WH2001,2019-09-11,2019-12-25,WH,CZCE,WH001.CZCE
EG1906,2018-12-10,2019-04-30,EG,DCE,eg1906.DCE
EG1909,2019-05-06,2019-08-02,EG,DCE,eg1909.DCE
EG2001,2019-08-05,2019-12-05,EG,DCE,eg2001.DCE
EG2005,2019-12-06,2019-12-25,EG,DCE,eg2005.DCE
JD1403,2013-11-08,2013-11-08,JD,DCE,jd1403.DCE
JD1405,2013-11-11,2014-03-17,JD,DCE,jd1405.DCE
JD1409,2014-03-18,2014-07-29,JD,DCE,jd1409.DCE
JD1501,2014-07-30,2014-11-28,JD,DCE,jd1501.DCE
JD1505,2014-12-01,2015-04-01,JD,DCE,jd1505.DCE
JD1509,2015-04-02,2015-08-03,JD,DCE,jd1509.DCE
JD1601,2015-08-04,2015-11-26,JD,DCE,jd1601.DCE
JD1605,2015-11-27,2016-03-24,JD,DCE,jd1605.DCE
JD1609,2016-03-25,2016-07-29,JD,DCE,jd1609.DCE
JD1701,2016-08-01,2016-11-29,JD,DCE,jd1701.DCE
JD1705,2016-11-30,2017-04-12,JD,DCE,jd1705.DCE
JD1709,2017-04-13,2017-08-02,JD,DCE,jd1709.DCE
JD1801,2017-08-03,2017-11-30,JD,DCE,jd1801.DCE
JD1805,2017-12-01,2018-04-09,JD,DCE,jd1805.DCE
JD1809,2018-04-10,2018-08-06,JD,DCE,jd1809.DCE
JD1901,2018-08-07,2018-12-07,JD,DCE,jd1901.DCE
JD1905,2018-12-10,2019-04-04,JD,DCE,jd1905.DCE
JD1909,2019-04-08,2019-08-05,JD,DCE,jd1909.DCE
JD2001,2019-08-06,2019-12-02,JD,DCE,jd2001.DCE
JD2005,2019-12-03,2019-12-25,JD,DCE,jd2005.DCE
HC1407,2014-03-21,2014-03-21,HC,SHFE,hc1407.SHFE
HC1410,2014-03-24,2014-08-29,HC,SHFE,hc1410.SHFE
HC1501,2014-09-01,2014-12-18,HC,SHFE,hc1501.SHFE
HC1505,2014-12-19,2015-04-07,HC,SHFE,hc1505.SHFE
HC1510,2015-04-08,2015-07-28,HC,SHFE,hc1510.SHFE
HC1601,2015-07-29,2015-11-30,HC,SHFE,hc1601.SHFE
HC1605,2015-12-01,2016-04-13,HC,SHFE,hc1605.SHFE
HC1610,2016-04-14,2016-09-01,HC,SHFE,hc1610.SHFE
HC1701,2016-09-02,2016-11-29,HC,SHFE,hc1701.SHFE
HC1705,2016-11-30,2017-03-28,HC,SHFE,hc1705.SHFE
HC1710,2017-03-29,2017-08-10,HC,SHFE,hc1710.SHFE
HC1801,2017-08-11,2017-11-24,HC,SHFE,hc1801.SHFE
HC1805,2017-11-27,2018-04-04,HC,SHFE,hc1805.SHFE
HC1810,2018-04-09,2018-08-20,HC,SHFE,hc1810.SHFE
HC1901,2018-08-21,2018-11-28,HC,SHFE,hc1901.SHFE
HC1905,2018-11-29,2019-04-09,HC,SHFE,hc1905.SHFE
HC1910,2019-04-10,2019-08-26,HC,SHFE,hc1910.SHFE
HC2001,2019-08-27,2019-12-13,HC,SHFE,hc2001.SHFE
HC2005,2019-12-16,2019-12-25,HC,SHFE,hc2005.SHFE
CU0004,2000-01-04,2000-01-05,CU,SHFE,cu0004.SHFE
CU0005,2000-01-06,2000-02-14,CU,SHFE,cu0005.SHFE
CU0006,2000-02-15,2000-03-02,CU,SHFE,cu0006.SHFE
CU0007,2000-03-03,2000-04-06,CU,SHFE,cu0007.SHFE
CU0008,2000-04-07,2000-05-10,CU,SHFE,cu0008.SHFE
CU0009,2000-05-11,2000-05-31,CU,SHFE,cu0009.SHFE
CU0010,2000-06-01,2000-06-30,CU,SHFE,cu0010.SHFE
CU0011,2000-07-03,2000-07-27,CU,SHFE,cu0011.SHFE
CU0012,2000-07-28,2000-09-06,CU,SHFE,cu0012.SHFE
CU0101,2000-09-07,2000-10-10,CU,SHFE,cu0101.SHFE
CU0102,2000-10-11,2000-10-18,CU,SHFE,cu0102.SHFE
CU0103,2000-10-19,2000-11-22,CU,SHFE,cu0103.SHFE
CU0104,2000-11-23,2000-12-11,CU,SHFE,cu0104.SHFE
CU0105,2000-12-12,2001-02-09,CU,SHFE,cu0105.SHFE
CU0106,2001-02-12,2001-02-27,CU,SHFE,cu0106.SHFE
CU0107,2001-02-28,2001-03-30,CU,SHFE,cu0107.SHFE
CU0108,2001-04-02,2001-05-15,CU,SHFE,cu0108.SHFE
CU0109,2001-05-16,2001-06-01,CU,SHFE,cu0109.SHFE
CU0110,2001-06-04,2001-07-26,CU,SHFE,cu0110.SHFE
CU0111,2001-07-27,2001-08-01,CU,SHFE,cu0111.SHFE
CU0112,2001-08-02,2001-08-24,CU,SHFE,cu0112.SHFE
CU0201,2001-08-27,2001-11-01,CU,SHFE,cu0201.SHFE
CU0203,2001-11-02,2001-11-15,CU,SHFE,cu0203.SHFE
CU0204,2001-11-16,2001-12-11,CU,SHFE,cu0204.SHFE
CU0205,2001-12-12,2002-01-17,CU,SHFE,cu0205.SHFE
CU0206,2002-01-18,2002-02-26,CU,SHFE,cu0206.SHFE
CU0207,2002-02-27,2002-03-26,CU,SHFE,cu0207.SHFE
CU0208,2002-03-27,2002-04-25,CU,SHFE,cu0208.SHFE
CU0209,2002-04-26,2002-05-29,CU,SHFE,cu0209.SHFE
CU0210,2002-05-30,2002-06-26,CU,SHFE,cu0210.SHFE
CU0211,2002-06-27,2002-07-23,CU,SHFE,cu0211.SHFE
CU0212,2002-07-24,2002-08-30,CU,SHFE,cu0212.SHFE
CU0301,2002-09-02,2002-09-24,CU,SHFE,cu0301.SHFE
CU0302,2002-09-25,2002-10-25,CU,SHFE,cu0302.SHFE
CU0303,2002-10-28,2002-11-21,CU,SHFE,cu0303.SHFE
CU0304,2002-11-22,2002-12-13,CU,SHFE,cu0304.SHFE
CU0305,2002-12-16,2003-01-14,CU,SHFE,cu0305.SHFE
CU0306,2003-01-15,2003-02-26,CU,SHFE,cu0306.SHFE
CU0307,2003-02-27,2003-03-20,CU,SHFE,cu0307.SHFE
CU0308,2003-03-21,2003-04-28,CU,SHFE,cu0308.SHFE
CU0309,2003-04-29,2003-06-02,CU,SHFE,cu0309.SHFE
CU0310,2003-06-03,2003-06-27,CU,SHFE,cu0310.SHFE
CU0311,2003-06-30,2003-07-23,CU,SHFE,cu0311.SHFE
CU0312,2003-07-24,2003-08-22,CU,SHFE,cu0312.SHFE
CU0401,2003-08-25,2003-09-26,CU,SHFE,cu0401.SHFE
CU0402,2003-09-29,2003-10-16,CU,SHFE,cu0402.SHFE
CU0403,2003-10-17,2003-10-29,CU,SHFE,cu0403.SHFE
CU0404,2003-10-30,2003-11-04,CU,SHFE,cu0404.SHFE
CU0405,2003-11-05,2003-11-19,CU,SHFE,cu0405.SHFE
CU0406,2003-11-20,2003-12-09,CU,SHFE,cu0406.SHFE
CU0407,2003-12-10,2003-12-30,CU,SHFE,cu0407.SHFE
CU0408,2003-12-31,2004-02-16,CU,SHFE,cu0408.SHFE
CU0409,2004-02-17,2004-04-07,CU,SHFE,cu0409.SHFE
CU0410,2004-04-08,2004-07-13,CU,SHFE,cu0410.SHFE
CU0411,2004-07-14,2004-08-26,CU,SHFE,cu0411.SHFE
CU0412,2004-08-27,2004-10-19,CU,SHFE,cu0412.SHFE
CU0501,2004-10-20,2004-12-06,CU,SHFE,cu0501.SHFE
CU0502,2004-12-07,2005-01-04,CU,SHFE,cu0502.SHFE
CU0503,2005-01-05,2005-01-28,CU,SHFE,cu0503.SHFE
CU0504,2005-01-31,2005-03-02,CU,SHFE,cu0504.SHFE
CU0505,2005-03-03,2005-03-24,CU,SHFE,cu0505.SHFE
CU0506,2005-03-25,2005-04-25,CU,SHFE,cu0506.SHFE
CU0507,2005-04-26,2005-06-01,CU,SHFE,cu0507.SHFE
CU0508,2005-06-02,2005-07-01,CU,SHFE,cu0508.SHFE
CU0509,2005-07-04,2005-08-03,CU,SHFE,cu0509.SHFE
CU0510,2005-08-04,2005-08-31,CU,SHFE,cu0510.SHFE
CU0511,2005-09-01,2005-09-22,CU,SHFE,cu0511.SHFE
CU0512,2005-09-23,2005-10-25,CU,SHFE,cu0512.SHFE
CU0601,2005-10-26,2005-12-01,CU,SHFE,cu0601.SHFE
CU0602,2005-12-02,2005-12-26,CU,SHFE,cu0602.SHFE
CU0603,2005-12-27,2006-01-25,CU,SHFE,cu0603.SHFE
CU0604,2006-02-06,2006-02-23,CU,SHFE,cu0604.SHFE
CU0605,2006-02-24,2006-03-23,CU,SHFE,cu0605.SHFE
CU0606,2006-03-24,2006-04-19,CU,SHFE,cu0606.SHFE
CU0607,2006-04-20,2006-05-15,CU,SHFE,cu0607.SHFE
CU0608,2006-05-16,2006-06-15,CU,SHFE,cu0608.SHFE
CU0609,2006-06-16,2006-07-20,CU,SHFE,cu0609.SHFE
CU0610,2006-07-21,2006-09-07,CU,SHFE,cu0610.SHFE
CU0611,2006-09-08,2006-10-17,CU,SHFE,cu0611.SHFE
CU0612,2006-10-18,2006-11-03,CU,SHFE,cu0612.SHFE
CU0701,2006-11-06,2006-12-07,CU,SHFE,cu0701.SHFE
CU0702,2006-12-08,2007-01-05,CU,SHFE,cu0702.SHFE
CU0703,2007-01-08,2007-01-30,CU,SHFE,cu0703.SHFE
CU0704,2007-01-31,2007-03-01,CU,SHFE,cu0704.SHFE
CU0705,2007-03-02,2007-03-21,CU,SHFE,cu0705.SHFE
CU0706,2007-03-22,2007-04-11,CU,SHFE,cu0706.SHFE
CU0707,2007-04-12,2007-05-17,CU,SHFE,cu0707.SHFE
CU0708,2007-05-18,2007-06-19,CU,SHFE,cu0708.SHFE
CU0709,2007-06-20,2007-07-23,CU,SHFE,cu0709.SHFE
CU0710,2007-07-24,2007-08-23,CU,SHFE,cu0710.SHFE
CU0711,2007-08-24,2007-09-21,CU,SHFE,cu0711.SHFE
CU0712,2007-09-24,2007-10-22,CU,SHFE,cu0712.SHFE
CU0801,2007-10-23,2007-11-22,CU,SHFE,cu0801.SHFE
CU0802,2007-11-23,2007-12-21,CU,SHFE,cu0802.SHFE
CU0803,2007-12-24,2008-01-17,CU,SHFE,cu0803.SHFE
CU0804,2008-01-18,2008-02-19,CU,SHFE,cu0804.SHFE
CU0805,2008-02-20,2008-03-17,CU,SHFE,cu0805.SHFE
CU0806,2008-03-18,2008-04-17,CU,SHFE,cu0806.SHFE
CU0807,2008-04-18,2008-05-22,CU,SHFE,cu0807.SHFE
CU0808,2008-05-23,2008-06-24,CU,SHFE,cu0808.SHFE
CU0809,2008-06-25,2008-07-24,CU,SHFE,cu0809.SHFE
CU0810,2008-07-25,2008-08-15,CU,SHFE,cu0810.SHFE
CU0811,2008-08-18,2008-09-16,CU,SHFE,cu0811.SHFE
CU0812,2008-09-17,2008-10-17,CU,SHFE,cu0812.SHFE
CU0901,2008-10-20,2008-11-19,CU,SHFE,cu0901.SHFE
CU0902,2008-11-20,2008-12-17,CU,SHFE,cu0902.SHFE
CU0903,2008-12-18,2009-01-14,CU,SHFE,cu0903.SHFE
CU0904,2009-01-15,2009-02-09,CU,SHFE,cu0904.SHFE
CU0905,2009-02-10,2009-03-06,CU,SHFE,cu0905.SHFE
CU0906,2009-03-09,2009-03-31,CU,SHFE,cu0906.SHFE
CU0907,2009-04-01,2009-04-22,CU,SHFE,cu0907.SHFE
CU0908,2009-04-23,2009-05-27,CU,SHFE,cu0908.SHFE
CU0909,2009-06-01,2009-06-22,CU,SHFE,cu0909.SHFE
CU0910,2009-06-23,2009-07-20,CU,SHFE,cu0910.SHFE
CU0911,2009-07-21,2009-08-19,CU,SHFE,cu0911.SHFE
CU0912,2009-08-20,2009-09-30,CU,SHFE,cu0912.SHFE
CU1001,2009-10-09,2009-11-09,CU,SHFE,cu1001.SHFE
CU1002,2009-11-10,2009-11-26,CU,SHFE,cu1002.SHFE
CU1003,2009-11-27,2009-12-25,CU,SHFE,cu1003.SHFE
CU1004,2009-12-28,2010-01-19,CU,SHFE,cu1004.SHFE
CU1005,2010-01-20,2010-02-24,CU,SHFE,cu1005.SHFE
CU1006,2010-02-25,2010-03-26,CU,SHFE,cu1006.SHFE
CU1007,2010-03-29,2010-04-28,CU,SHFE,cu1007.SHFE
CU1008,2010-04-29,2010-05-27,CU,SHFE,cu1008.SHFE
CU1009,2010-05-28,2010-06-29,CU,SHFE,cu1009.SHFE
CU1010,2010-06-30,2010-07-28,CU,SHFE,cu1010.SHFE
CU1011,2010-07-29,2010-08-24,CU,SHFE,cu1011.SHFE
CU1012,2010-08-25,2010-10-08,CU,SHFE,cu1012.SHFE
CU1101,2010-10-11,2010-10-27,CU,SHFE,cu1101.SHFE
CU1102,2010-10-28,2010-11-19,CU,SHFE,cu1102.SHFE
CU1103,2010-11-22,2010-12-31,CU,SHFE,cu1103.SHFE
CU1104,2011-01-04,2011-02-01,CU,SHFE,cu1104.SHFE
CU1105,2011-02-09,2011-03-15,CU,SHFE,cu1105.SHFE
CU1106,2011-03-16,2011-04-25,CU,SHFE,cu1106.SHFE
CU1107,2011-04-26,2011-05-24,CU,SHFE,cu1107.SHFE
CU1108,2011-05-25,2011-06-27,CU,SHFE,cu1108.SHFE
CU1109,2011-06-28,2011-07-22,CU,SHFE,cu1109.SHFE
CU1110,2011-07-25,2011-08-16,CU,SHFE,cu1110.SHFE
CU1111,2011-08-17,2011-09-16,CU,SHFE,cu1111.SHFE
CU1112,2011-09-19,2011-10-19,CU,SHFE,cu1112.SHFE
CU1201,2011-10-20,2011-11-17,CU,SHFE,cu1201.SHFE
CU1202,2011-11-18,2011-12-15,CU,SHFE,cu1202.SHFE
CU1203,2011-12-16,2012-01-17,CU,SHFE,cu1203.SHFE
CU1204,2012-01-18,2012-02-10,CU,SHFE,cu1204.SHFE
CU1205,2012-02-13,2012-03-06,CU,SHFE,cu1205.SHFE
CU1206,2012-03-07,2012-04-05,CU,SHFE,cu1206.SHFE
CU1207,2012-04-06,2012-04-27,CU,SHFE,cu1207.SHFE
CU1208,2012-05-02,2012-05-17,CU,SHFE,cu1208.SHFE
CU1209,2012-05-18,2012-06-20,CU,SHFE,cu1209.SHFE
CU1210,2012-06-21,2012-07-19,CU,SHFE,cu1210.SHFE
CU1211,2012-07-20,2012-08-14,CU,SHFE,cu1211.SHFE
CU1212,2012-08-15,2012-09-17,CU,SHFE,cu1212.SHFE
CU1301,2012-09-18,2012-10-26,CU,SHFE,cu1301.SHFE
CU1302,2012-10-29,2012-11-26,CU,SHFE,cu1302.SHFE
CU1303,2012-11-27,2012-12-25,CU,SHFE,cu1303.SHFE
CU1304,2012-12-26,2013-01-25,CU,SHFE,cu1304.SHFE
CU1305,2013-01-28,2013-02-26,CU,SHFE,cu1305.SHFE
CU1306,2013-02-27,2013-03-18,CU,SHFE,cu1306.SHFE
CU1307,2013-03-19,2013-04-03,CU,SHFE,cu1307.SHFE
CU1308,2013-04-08,2013-05-02,CU,SHFE,cu1308.SHFE
CU1309,2013-05-03,2013-06-06,CU,SHFE,cu1309.SHFE
CU1310,2013-06-07,2013-07-08,CU,SHFE,cu1310.SHFE
CU1311,2013-07-09,2013-08-16,CU,SHFE,cu1311.SHFE
CU1312,2013-08-19,2013-10-09,CU,SHFE,cu1312.SHFE
CU1401,2013-10-10,2013-11-18,CU,SHFE,cu1401.SHFE
CU1402,2013-11-19,2013-12-20,CU,SHFE,cu1402.SHFE
CU1403,2013-12-23,2014-01-15,CU,SHFE,cu1403.SHFE
CU1404,2014-01-16,2014-02-20,CU,SHFE,cu1404.SHFE
CU1405,2014-02-21,2014-03-11,CU,SHFE,cu1405.SHFE
CU1406,2014-03-12,2014-04-02,CU,SHFE,cu1406.SHFE
CU1407,2014-04-03,2014-05-14,CU,SHFE,cu1407.SHFE
CU1408,2014-05-15,2014-06-26,CU,SHFE,cu1408.SHFE
CU1409,2014-06-27,2014-07-31,CU,SHFE,cu1409.SHFE
CU1410,2014-08-01,2014-09-01,CU,SHFE,cu1410.SHFE
CU1411,2014-09-02,2014-09-24,CU,SHFE,cu1411.SHFE
CU1412,2014-09-25,2014-10-17,CU,SHFE,cu1412.SHFE
CU1501,2014-10-20,2014-11-26,CU,SHFE,cu1501.SHFE
CU1502,2014-11-27,2014-12-18,CU,SHFE,cu1502.SHFE
CU1503,2014-12-19,2015-01-23,CU,SHFE,cu1503.SHFE
CU1504,2015-01-26,2015-02-25,CU,SHFE,cu1504.SHFE
CU1505,2015-02-26,2015-03-23,CU,SHFE,cu1505.SHFE
CU1506,2015-03-24,2015-04-27,CU,SHFE,cu1506.SHFE
CU1507,2015-04-28,2015-05-26,CU,SHFE,cu1507.SHFE
CU1508,2015-05-27,2015-06-26,CU,SHFE,cu1508.SHFE
CU1509,2015-06-29,2015-07-24,CU,SHFE,cu1509.SHFE
CU1510,2015-07-27,2015-08-27,CU,SHFE,cu1510.SHFE
CU1511,2015-08-28,2015-09-25,CU,SHFE,cu1511.SHFE
CU1512,2015-09-28,2015-10-29,CU,SHFE,cu1512.SHFE
CU1601,2015-10-30,2015-11-26,CU,SHFE,cu1601.SHFE
CU1602,2015-11-27,2015-12-29,CU,SHFE,cu1602.SHFE
CU1603,2015-12-30,2016-01-29,CU,SHFE,cu1603.SHFE
CU1604,2016-02-01,2016-02-29,CU,SHFE,cu1604.SHFE
CU1605,2016-03-01,2016-03-29,CU,SHFE,cu1605.SHFE
CU1606,2016-03-30,2016-04-26,CU,SHFE,cu1606.SHFE
CU1607,2016-04-27,2016-05-27,CU,SHFE,cu1607.SHFE
CU1608,2016-05-30,2016-06-28,CU,SHFE,cu1608.SHFE
CU1609,2016-06-29,2016-08-01,CU,SHFE,cu1609.SHFE
CU1610,2016-08-02,2016-09-02,CU,SHFE,cu1610.SHFE
CU1611,2016-09-05,2016-09-28,CU,SHFE,cu1611.SHFE
CU1612,2016-09-29,2016-10-31,CU,SHFE,cu1612.SHFE
CU1701,2016-11-01,2016-11-28,CU,SHFE,cu1701.SHFE
CU1702,2016-11-29,2016-12-28,CU,SHFE,cu1702.SHFE
CU1703,2016-12-29,2017-02-10,CU,SHFE,cu1703.SHFE
CU1704,2017-02-13,2017-03-09,CU,SHFE,cu1704.SHFE
CU1705,2017-03-10,2017-04-12,CU,SHFE,cu1705.SHFE
CU1706,2017-04-13,2017-05-09,CU,SHFE,cu1706.SHFE
CU1707,2017-05-10,2017-06-01,CU,SHFE,cu1707.SHFE
CU1708,2017-06-02,2017-07-03,CU,SHFE,cu1708.SHFE
CU1709,2017-07-04,2017-07-31,CU,SHFE,cu1709.SHFE
CU1710,2017-08-01,2017-09-06,CU,SHFE,cu1710.SHFE
CU1711,2017-09-07,2017-09-29,CU,SHFE,cu1711.SHFE
CU1712,2017-10-09,2017-11-07,CU,SHFE,cu1712.SHFE
CU1801,2017-11-08,2017-12-05,CU,SHFE,cu1801.SHFE
CU1802,2017-12-06,2017-12-28,CU,SHFE,cu1802.SHFE
CU1803,2017-12-29,2018-02-05,CU,SHFE,cu1803.SHFE
CU1804,2018-02-06,2018-03-01,CU,SHFE,cu1804.SHFE
CU1805,2018-03-02,2018-04-13,CU,SHFE,cu1805.SHFE
CU1806,2018-04-16,2018-05-09,CU,SHFE,cu1806.SHFE
CU1807,2018-05-10,2018-06-06,CU,SHFE,cu1807.SHFE
CU1808,2018-06-07,2018-07-09,CU,SHFE,cu1808.SHFE
CU1809,2018-07-10,2018-08-09,CU,SHFE,cu1809.SHFE
CU1810,2018-08-10,2018-09-05,CU,SHFE,cu1810.SHFE
CU1811,2018-09-06,2018-10-22,CU,SHFE,cu1811.SHFE
CU1812,2018-10-23,2018-11-06,CU,SHFE,cu1812.SHFE
CU1901,2018-11-07,2018-11-30,CU,SHFE,cu1901.SHFE
CU1902,2018-12-03,2019-01-02,CU,SHFE,cu1902.SHFE
CU1903,2019-01-03,2019-02-15,CU,SHFE,cu1903.SHFE
CU1904,2019-02-18,2019-03-05,CU,SHFE,cu1904.SHFE
CU1905,2019-03-06,2019-04-18,CU,SHFE,cu1905.SHFE
CU1906,2019-04-19,2019-05-10,CU,SHFE,cu1906.SHFE
CU1907,2019-05-13,2019-06-11,CU,SHFE,cu1907.SHFE
CU1908,2019-06-12,2019-07-09,CU,SHFE,cu1908.SHFE
CU1909,2019-07-10,2019-08-09,CU,SHFE,cu1909.SHFE
CU1910,2019-08-12,2019-09-09,CU,SHFE,cu1910.SHFE
CU1911,2019-09-10,2019-10-11,CU,SHFE,cu1911.SHFE
CU1912,2019-10-14,2019-11-13,CU,SHFE,cu1912.SHFE
CU2001,2019-11-14,2019-12-09,CU,SHFE,cu2001.SHFE
CU2002,2019-12-10,2019-12-25,CU,SHFE,cu2002.SHFE
TA0702,2006-12-18,2006-12-18,TA,CZCE,TA702.CZCE
TA0705,2006-12-19,2007-04-05,TA,CZCE,TA705.CZCE
